year,rank,name,genre,lyricist,lyrics
1990,1,내사랑 내곁에 (응답하라 1988 삽입곡),발라드,오태호,"나의 모든 사랑이 떠나가는 날이
 당신의 그 웃음 뒤에서
 함께하는데
 철이 없는 욕심에 그 많은 미련에
 당신이 있는 건 아닌지
 아니겠지요
 시간은 멀어 집으로 향해가는데
 약속했던 그대만은
 올 줄을 모르고
 애써 웃음지으며 돌아오는 길은
 왜 그리도 낯설고 멀기만 한지
 저 여린 가지 사이로
 혼자인 날 느낄때
 이렇게 아픈 그대 기억이 날까
 내 사랑 그대 내 곁에 있어줘
 이 세상 하나뿐인 오직 그대만이
 힘겨운 날에 너마저 떠나면
 비틀거릴 내가 안길 곳은 어디에
 저 여린 가지 사이로
 혼자인 날 느낄때
 이렇게 아픈 그대 기억이 날까
 내 사랑 그대 내 곁에 있어줘
 이 세상 하나뿐인 오직 그대만이
 힘겨운 날에 너마저 떠나면
 비틀거릴 내가 안길 곳은 어디에
 비틀거릴 내가 안길 곳은 어디에
 비틀거릴 내가 안길 곳은 어디에"
1990,2,너를 사랑해,발라드,최수정,"아침이 오는 소리에 문득
 잠에서 깨어
 내 품안에 잠든 너에게
 워우우워 우워워 너를 사랑해
 내가 힘겨울때마다 너는
 항상 내 곁에
 따스하게 어깨 감싸며
 워우우워 우워워 너를 사랑해
 영원히 우리에겐 서글픈
 이별은 없어
 때로는 슬픔에 눈물도 흘리지만
 언제나 너와 함께 새하얀
 꿈을 꾸면서
 하늘이 우리를 갈라놓을 때까지
 워우우워 우워워 너를 사랑해
 내가 힘겨울때마다 너는
 항상 내 곁에
 따스하게 어깨 감싸며
 워우우워 우워워 너를 사랑해
 영원히 우리에겐 서글픈
 이별은 없어
 때로는 슬픔에 눈물도 흘리지만
 언제나 너와 함께 새하얀
 꿈을 꾸면서
 하늘이 우리를 갈라놓을 때까지
 워우우워 우워워 너를
 사랑해 너를 사랑해"
1990,3,다시만난 너에게,록/메탈,김민철,"내가 처음 보았던 기억속에
 파란 하늘빛 미소 여전한 넌
 지난 시간 세월을 얘기하듯
 야윈 모습으로 손을 내밀고
 나 역시 서툰 웃음과
 어색한 시간이 흐른 뒤
 나의 맘 속에 맘으로
 널 그리워 해왔었다 말했지
 
 이젠 다시 사랑을 가슴에 묻고
 나누어지는 슬픔은 없을꺼야
 
 내안에 있는 소중한 것을
 모두다 너에게 주고 싶어
 
 나 역시 서툰 웃음과
 어색한 시간이 흐른 뒤
 나의 맘 속에 맘으로
 널 그리워 해왔었다 말했지
 
 이젠 다시 사랑을 가슴에 묻고
 나누어지는 슬픔은 없을꺼야
 
 내안에 있는 소중한 것을
 모두다 너에게 주고 싶어
 
 그리움에 보낸 날들은
 너의 절실함을 일깨워주고
 
 어떤 어려움에도
 견딜 수 있는
 널 향한 사랑에게 보여주었어
 
 그리움에 보낸 날들은
 너의 절실함을 일깨워주고"
1990,4,나의 노래,포크/블루스,김광석,"아무 것도 가진 것 없는 이에게
 시와 노래는 애달픈 양식
 아무도 뵈지 않는 암흑속에서
 조그만 읊조림은 커다린 빛
 나의 노래는 나의 힘
 나의 노래는 나의 삶
 자그맣고 메마른 씨앗속에서
 내일의 결실을 바라보듯이
 자그만 아이의 읊음 속에서
 마음의 열매가 맺혔으면
 나의 노래는 나의 힘
 나의 노래는 나의 삶
 
 거미줄처럼 얽힌 세상속에서
 바람에 나부끼는 나무가지처럼
 흔들리고 넘어져도
 이세상속에는 마지막 한방울의 물이 있는 한
 나는 마시고 노래하리
 나는 마시고 노래하리
 수많은 진리와 양심의 금문자
 찬란한 그빛에는 멀지 않으리
 이웃과 벗들의 웃음속에는
 조그만 가락이 울려 나오면
 나는 부르리 나의 노래를
 나는 부르리 가난한 마음을
 그러나 그대 모두 귀기울일 때
 노래는 멀리 멀리 날아가리
 노래는 멀리 멀리 날아가리"
1990,5,아주 오래된 연인들,발라드,정석원,"저녁이 되면 의무감으로 전화를 하고
 관심도 없는 서로의 일과를 묻곤 하지
 가끔씩은 사랑한단 말로
 서로에게 위로하겠지만
 그런것도 예전에 가졌던 두근거림은 아니야
 처음에 만난 그 느낌 그 설레임을 찾는 다면
 우리가 느낀 싫증은 이젠 없는 거야
 
 주말이 되면 습관적으로 약속을 하고
 서로를 위해 봉사한다고 생각을 하지
 가끔씩은 서로의 눈 피해
 다른 사람 만나기도 하고
 자연스레 이별할 기회를 찾으려 할때도 있지
 
 처음에 만난 그 느낌 그 설레임을 찾는 다면
 우리가 느낀 싫증은 이젠 없는 거야
 
 처음에 만난 그 느낌 그 설레임을 찾는 다면
 우리가 느낀 싫증은 이젠 없는 거야
 
 스탑더 빅"
1990,6,이별의 그늘,발라드,박주연,"문득 돌아보면 같은 자리지만
 난 아주 먼길을 떠난 듯 했어
 만날 순 없었지
 한번 어긋난 후
 나의 기억에서만
 살아있는 먼 그대
 난 끝내 익숙해지겠지
 그저 쉽게 잊고 사는 걸
 또 함께 나눈 모든 것도
 그만큼의 허전함일 뿐
 덧없이 흘러가는
 시간 속에서
 어떤 만남을 준비 할까
 하지만 기억 해줘
 지난 얘기와 이별 후에
 비로소 눈 뜬
 나의 사랑을
 난 끝내 익숙해지겠지
 그저 쉽게 잊고 사는 걸
 또 함께 나눈 모든 것도
 그만큼의 허전함일 뿐
 덧없이 흘러가는
 시간 속에서
 어떤 만남을 준비 할까
 하지만 기억 해줘
 지난 얘기와
 이별 후에 비로소 눈 뜬
 나의 사랑을"
1990,7,10년전의 일기를 꺼내어,록/메탈,김종진,"내겐 더 많은 날이 있어
 무슨 걱정 있을까
 어제 힘들었던 순간들은
 모두 지나간 것 일뿐
 내겐 더 많은 날이 있어
 무슨 걱정 있을까
 하루 하루 사는 것은
 모두 기쁨일 뿐이야
 
 오늘은 낡은 책상 서랍에서
 십년이나 지난
 일기를 꺼내어 들었지
 왜 그토록 많은
 고민의 낱말들이
 그 속을 가득 메우고 있는지
 그 오랜 기록들이
 어두운 거미줄에
 쌓여 있는 동안
 물론 힘겨운 날들도 많았지만
 가끔은 깜짝 놀랄 만큼
 재미있는 일도 있었다고
 생각을 해봐
 그래 지금은 모두
 힘겹다고 하겠지
 하지만 하지만
 다가올 날들을
 상상 해보면 어떨까
 세상은 그렇게
 어두운 것만은 아니잖아
 내겐 더 많은 날이 있어
 무슨 걱정 있을까
 하루 하루 사는 것은
 모두 기쁨일 뿐이야
 
 후욱하고 날려 버린 먼지들이
 십년이나 지난 일기 위에는
 수북이 쌓여 있었지
 왜 그토록 많은
 외로움의 낱말들이
 그 위에 덮여 있는지
 그래 지금 힙겹다고
 생각하는 날들도
 언젠가 다가올 날에는
 다시 돌아 오고픈 시간일거야
 세상은 그렇게
 어두운 것만은 아니잖아
 내겐 더 많은 날이 있어
 무슨 걱정 있을까
 어제 힘들었던 순간들은
 모두 지나간 것일뿐
 내겐 더 많은 날이 있어
 무슨 걱정 있을까
 하루 하루 사는 것은
 모두 기쁨일 뿐이야
 내겐 더 많은 날이 있어
 무슨 걱정 있을까
 어제 힘들었던 순간들은
 모두 지나간 것일뿐"
1990,8,Poison,댄스,주영훈,"널 뒤로한채 그냥 걸었어
 미안해 하는 널 위해
 참아온 눈물 보이기 싫어
 나 먼저 일어선거야
 오늘이 올 줄 알고 있었어
 우리 사랑 끝나는 날
 잘못된 우릴 하늘이
 분명 용서할리 없으니까
 그녀에게 미안하다고 전해줘
 그녀의 행복을 내가 가졌으니
 다신 이런 아픔을 남기지는마
 나 하나로만 된거야
 모두를 속여가며 사랑한
 넌 더 힘들었니
 이젠 꿈에서라도 나를 찾지마
 난 니안에 없는거야
 이대로 나를 잊고
 돌아가 그녀품으로
 내품에 안겨 울던 모습도
 날 위한 연극이었니
 너의 사랑은 나뿐이라고
 그 말을 믿었었는데
 사랑스런 미소와 따스한 눈길
 이제는 그녀와 함께 나누겠지
 다신 이런 아픔을 남기지는마
 나 하나로만 된거야
 모두를 속여가며 사랑한
 넌 더 힘들었니
 이젠 꿈에서라도 나를 찾지마
 난 니안에 없는거야
 이대로 나를 잊고
 돌아가 그녀품으로
 그래 누구나 한 사람만을
 사랑해야 하는걸
 이제 넌 그걸 잊지 말아줘"
1990,9,내가 만일,포크/블루스,김범수,"내가 만일 하늘이라면
 그대 얼굴에 물들고 싶어
 붉게 물든 저녁 저 노을처럼
 나 그대 뺨에 물들고 싶어
 내가 만일 시인이라면
 그댈 위해 노래하겠어
 엄마 품에 안긴 어린아이처럼
 나 행복하게 노래하고 싶어
 세상에 그 무엇이라도
 그대위해 되고 싶어
 오늘처럼 우리 함께 있음이
 내겐 얼마나 큰 기쁨인지
 사랑하는 나의 사람아
 너는 아니 워 이런 나의 마음을
 내가 만일 구름이라면
 그대위해 비가 되겠어
 더운 여름날의 소나기처럼
 나 시원하게 내리고 싶어
 세상에 그 무엇이라도
 그대위해 되고싶어
 오늘처럼 우리 함께 있음이
 내겐 얼마나 큰 기쁨인지 워
 세상에 그 무엇이라도
 그대위해 되고싶어
 오늘처럼 우리 함께 있음이
 내겐 얼마나 큰 기쁨인지
 사랑하는 나의 사람아 너는 아니
 워 이런 나의 마음을
 이런 나의 마음을"
1990,10,도시인,록/메탈,신해철,"아침엔 우유 한잔 점심엔 FAST FOOD
 쫓기는 사람처럼 시계바늘 보면서
 거리를 가득메운 자동차 경적소리
 어깨를 늘어뜨린 학생들
 THIS IS THE CITY LIFE!
 모두가 똑같은 얼굴을 하고
 손을 내밀어 악수하지만
 가슴속에는 모두 다른 마음
 각자 걸어가고 있는거야
 아무런 말없이 어디로 가는가
 함께 있지만 외로운 사람들
 
 어젯밤 술이 덜 깬 흐릿한 두 눈으로
 자판기 커피 한 잔 구겨진 셔츠 샐러리맨
 기계 부속품처럼 큰 빌딩속에 앉아
 점점 빨리가는 세월들
 THIS IS THE CITY LIFE!
 모두가 똑같은 얼굴을 하고
 손을 내밀어 악수하지만
 가슴속에는 모두 다른 마음
 각자 걸어가고 있는거야
 아무런 말없이 어디로 가는가
 함께 있지만 외로운 사람들
 
 THIS IS THE CITY LIFE!
 한 손엔 휴대전화 허리엔 삐삐차고
 집이란 잠자는 곳 직장이란 전쟁터
 회색빛의 빌딩들 회색빛의 하늘과
 회색 얼굴의 사람들
 THIS IS THE CITY LIFE!
 아무런 말없이 어디로 가는가
 함께 있지만 외로운 사람들
 아무 말없이 어디로 가는가
 함께 있지만 외로운 사람들"
